"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
896173.292852423,3922.04369918547,1163431.63772561,0,798937.095969186,291320.132642774,0,216655.523315387,961118.169787186,961118.169787186,961118.169787186,1076427.76682928,291320.132642774,485386.163770101,207733.498157373,673128.352172876,65187.9517547821,504815.151901895,32084.2839295389,0,3027114.19363903,961118.169787186,7350127.99809955,0,3806645.98457459,1322986.84709169,1076427.76682928,0,504815.151901895,291320.132642774,3784428.09388777,89129.8792417217,1324321.87358085,207733.498157373,0,13304.5183573048,0,753384.671629813,1077275.6340494,791430.016466267,216655.523315387,499053.630800147,0,64448.6035723547,0,7507.07950291954,673128.352172876,403957.36502708,0,0,6823284.61068255,0,0,0,5129632.83166628,673128.352172876,493397.068210513,673128.352172876,0,5908304.54619669,291320.132642774,0,356481.742817724,104197.059964706
2364000.76323398,2518.29121138645,1851651.21514232,0,1661843.61727634,822318.286651099,0,328805.246002491,1852061.50485067,1852061.50485067,1852061.50485067,2597895.35013677,822318.286651099,564146.215172709,282524.566319226,2859243.59094426,23024.869189618,973093.231758499,64061.448214964,0,6339376.53507254,1852061.50485067,13489983.1696105,0,7989443.41631055,2051075.63231891,2597895.35013677,0,973093.231758499,822318.286651099,7977666.68027221,129383.954845423,1085463.35774704,282524.566319226,0,0,0,1569536.93853144,2598987.68094937,1650066.88123801,328805.246002491,1104842.85297032,0,21906.6407714134,0,11776.736038333,2859243.59094426,1355706.73096618,0,0,12797595.9267388,0,0,0,10040519.0486295,2859243.59094426,605743.225566643,2859243.59094426,0,12263604.1740835,822318.286651099,0,387031.615291692,140915.637779889
1038239.67497479,2411.70150706225,1135382.70384987,0,1018088.148874,406163.729647416,0,203478.88185565,1252046.5459673,1252046.5459673,1252046.5459673,1368239.932531,406163.729647416,395044.157462103,213032.276884689,847390.146560237,2411.70150706225,537899.690463933,966.510266773134,0,3694584.4515646,1252046.5459673,8056515.4358774,0,4699711.27003096,1328057.45127741,1368239.932531,0,537899.690463933,406163.729647416,4683279.77800925,63524.1632393327,990507.039594238,213032.276884689,0,11105.1331067316,0,1039014.26908261,1369286.02912818,1014496.87076605,203478.88185565,619196.006532105,0,1340.80345157527,0,3591.27810794604,847390.146560237,488361.810080124,0,0,7731707.08709692,0,0,0,6027768.72130837,847390.146560237,455709.088071855,847390.146560237,0,6926345.17379753,406163.729647416,0,333661.414699387,128558.089378907
2410051.16292056,0,1380467.92411767,0,1682231.96966961,837502.419260509,0,213497.344106328,1625512.15276746,1625512.15276746,1625512.15276746,3003225.11620769,837502.419260509,246519.309890281,100230.079539944,3987788.2189016,33214.5592299615,865161.619383342,103760.499111638,0,6107220.50342703,1625512.15276746,12070682.4719161,0,7770946.17775287,1375804.19735129,3003225.11620769,0,865161.619383342,837502.419260509,7752439.8824091,106790.449685326,513880.933891368,100230.079539944,0,0,0,1525282.07322752,3003225.11620769,1663725.67432584,213497.344106328,937732.498800453,0,33214.5592299615,0,18506.2953437723,3987788.2189016,1698244.11997215,0,0,12170891.8742564,0,0,0,9146750.37510416,3987788.2189016,286332.615857919,3987788.2189016,0,11545988.920021,837502.419260509,0,63462.2451586547,10812.6180036965
445668.490780687,0,343617.03120889,0,818364.181472867,274134.562268714,0,35698.7553400899,1058336.18145182,1058336.18145182,1058336.18145182,1571259.84930107,274134.562268714,1286.89049507074,4162.35494000948,1086948.59609858,0,283036.623724015,2327.48313302651,0,2129293.11230272,1058336.18145182,4137378.41134998,0,2947657.29377559,348888.053776538,1571259.84930107,0,283036.623724015,274134.562268714,2947657.29377559,6641.65974382476,395164.57301717,4162.35494000948,0,0,0,1054173.82651181,1571259.84930107,818364.181472867,35698.7553400899,278296.917208723,0,0,0,0,1086948.59609858,438433.091666755,0,0,5197118.33981784,0,0,0,3296545.34755212,1086948.59609858,30152.6747124334,1086948.59609858,0,3742213.83833281,274134.562268714,0,1286.89049507074,0
458606.61771,0,491358.688151,0,955194,122262,0,67282.712689,1285377,1285377,1285377,2696424,122262,0,8061,1875285,0,432431,4507.506401,0,2378552,1285377,4563832.230899,0,3333746,499713.712689,2696424,0,432431,122262,3333746,12862.530939,271765.9005,8061,0,0,0,1277316,2696424,955194,67282.712689,130323,0,0,0,0,1875285,690042,0,0,6734366.9005,0,0,0,3833459.712689,1875285,0,1875285,0,4292066.330399,122262,0,0,0
458606.61771,0,491358.688151,0,955194,122262,0,67282.712689,1285377,1285377,1285377,2696424,122262,0,8061,1875285,0,432431,4507.506401,0,2378552,1285377,4563832.230899,0,3333746,499713.712689,2696424,0,432431,122262,3333746,12862.530939,271765.9005,8061,0,0,0,1277316,2696424,955194,67282.712689,130323,0,0,0,0,1875285,690042,0,0,6734366.9005,0,0,0,3833459.712689,1875285,0,1875285,0,4292066.330399,122262,0,0,0
458606.61771,0,491358.688151,0,955194,122262,0,67282.712689,1285377,1285377,1285377,2696424,122262,0,8061,1875285,0,432431,4507.506401,0,2378552,1285377,4563832.230899,0,3333746,499713.712689,2696424,0,432431,122262,3333746,12862.530939,271765.9005,8061,0,0,0,1277316,2696424,955194,67282.712689,130323,0,0,0,0,1875285,690042,0,0,6734366.9005,0,0,0,3833459.712689,1875285,0,1875285,0,4292066.330399,122262,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,38852.3507297081,0,1679.49956331348,0,0,7027.66579207046,813144.45225518,813144.45225518,73364.899238085,384962.646178871,462022.870099261,0,0,88032.0809048593,0,30145.1853743242,0,0,2991.29181511714,0,101354.188682206,1017052.4386799,2991.29181511714,37172.8511663947,384962.646178871,0,30145.1853743242,462022.870099261,1311.79225180366,0,61190.0457006945,73364.899238085,0,0,0,0,384962.646178871,1124742.19919597,7027.66579207046,0,0,0,0,1679.49956331348,88032.0809048593,2600946.48518078,0,0,479289.169069007,0,0,0,40164.1429815118,88032.0809048593,0,88032.0809048593,0,40164.1429815118,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,880162.420760161,0,280559.948533333,0,0,0,3735160.73573251,3735160.73573251,484672.748949962,2943556.00865562,1357579.7933696,0,0,1851255.98657878,0,880162.420760161,0,0,273876.124086675,0,1434598.49338017,2351636.05184269,554436.072620008,880162.420760161,2943556.00865562,0,880162.420760161,1357579.7933696,273876.124086675,0,0,487769.879115042,0,0,0,0,2943556.00865562,6190946.86527309,0,0,0,0,0,0,1851255.98657878,4957108.54621197,0,0,4378154.50203579,0,0,0,1434598.49338017,1851255.98657878,0,1851255.98657878,0,1154038.54484684,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,73060551.779075,0,21255978.9215318,0,0,0,923643.810250521,923643.810250521,0,0,0,0,0,0,0,14206115.9301562,0,0,0,0,94316530.7006068,239365247.137042,21255978.9215318,73060551.779075,0,0,14206115.9301562,0,0,0,0,0,0,0,0,0,0,923643.810250521,0,0,0,1218808.19611399,0,0,0,81891562.8758737,0,0,35462094.851688,0,0,0,94316530.7006068,0,58854435.8489188,0,0,73060551.779075,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,73241664.2992841,0,34828109.1351392,0,0,0,0,0,0,0,0,0,0,0,0,21926996.3595537,0,0,0,0,108069773.434423,176908816.448631,34828109.1351392,73241664.2992841,0,0,21926996.3595537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73419271.3386782,0,0,56755105.4946929,0,0,0,108069773.434423,0,51314667.9397304,0,0,73241664.2992841,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,935526.004624517,0,311764.484008288,0,0,7713.26572072756,4339651.69497698,4339651.69497698,491124.673373856,2523760.17202173,1829840.71177728,0,0,802451.35408781,0,925969.391938671,0,0,307843.946916026,0,1618607.32147304,2326147.03204126,617765.083959195,933682.657659399,2523760.17202173,0,925969.391938671,1829840.71177728,306000.599950907,0,67159.5798544467,491124.673373856,0,0,0,0,2523760.17202173,6372287.19362485,7713.26572072756,0,0,0,0,1843.34696511887,802451.35408781,6365273.65008946,0,0,4134654.22777404,0,0,0,1551447.74161859,802451.35408781,0,802451.35408781,0,1241526.60457542,0,0,0,0
0,0,1361266.63185184,0,433916.385390152,0,0,0,5776831.13278629,5776831.13278629,749598.965999559,4552528.5777473,2099644.3715403,0,0,2863168.14045432,0,1361266.63185184,0,0,423579.126064159,0,2218762.14330615,3637060.17449428,857495.511454311,1361266.63185184,4552528.5777473,0,1361266.63185184,2099644.3715403,423579.126064159,0,0,754389.013664379,0,0,0,0,4552528.5777473,9574970.69686921,0,0,0,0,0,0,2863168.14045432,7666705.93434107,0,0,6771290.72105345,0,0,0,2218762.14330615,2863168.14045432,0,2863168.14045432,0,1784845.757916,0,0,0,0
0,0,1297867.58235193,0,778097.866036564,0,0,2351.45952103408,18528699.5407106,18528699.5407106,1213820.12198574,16392902.8124159,3584644.28539312,0,0,15052239.3516076,0,1249935.58142095,0,0,1653422.7335534,0,3638227.09912201,4247290.02429056,2385940.05818002,1252287.04094198,16394739.2501993,0,1249935.58142095,3584644.28539312,1607842.19214346,0,0,1522506.3197172,0,0,0,0,16394739.2501993,33399096.0334093,2351.45952103408,0,0,0,0,45580.5414099437,15052239.3516076,19762399.9670164,0,0,20030614.8898002,0,0,0,3638227.09912201,15052239.3516076,0,15052239.3516076,0,2905709.77449539,0,0,0,0
0,0,645782.488669929,0,675664.250227114,0,0,3240.82079542526,21123905.1565486,21123905.1565486,1147303.95246798,19903219.358124,3247200.96108695,0,0,19841728.8741536,0,579721.804233761,0,0,1888913.21331658,0,3084720.22493214,4304953.33069459,2501757.59990295,582962.625029186,19905750.3673566,0,579721.804233761,3247200.96108695,1826093.34967584,0,0,1572740.4271001,0,0,0,0,19905750.3673566,39454384.0875724,3240.82079542526,0,0,0,0,62819.863640743,19841728.8741536,22743046.0109811,0,0,22987229.7714933,0,0,0,3084720.22493214,19841728.8741536,0,19841728.8741536,0,2471875.83834577,0,0,0,0
0,0,645782.488669929,0,675664.250227114,0,0,3240.82079542526,21123905.1565486,21123905.1565486,1147303.95246798,19903219.358124,3247200.96108695,0,0,19841728.8741536,0,579721.804233761,0,0,1888913.21331658,0,3084720.22493214,4304953.33069459,2501757.59990295,582962.625029186,19905750.3673566,0,579721.804233761,3247200.96108695,1826093.34967584,0,0,1572740.4271001,0,0,0,0,19905750.3673566,39454384.0875724,3240.82079542526,0,0,0,0,62819.863640743,19841728.8741536,22743046.0109811,0,0,22987229.7714933,0,0,0,3084720.22493214,19841728.8741536,0,19841728.8741536,0,2471875.83834577,0,0,0,0
0,0,355515.729279417,0,437667.362494475,0,0,9163.44177435403,23207091.6751173,23207091.6751173,1021638.34235519,17039693.570247,5901842.8232913,0,0,13223286.438949,0,305499.782451471,0,0,1331919.68125077,0,2043397.76291748,4403313.97151903,1728734.53869166,314663.224225825,17041339.5156769,0,305499.782451471,5901842.8232913,1291067.17619718,0,0,1326681.97918651,0,0,0,0,17041339.5156769,38920103.2661778,9163.44177435403,0,0,0,0,40852.5050535921,13223286.438949,16420256.8000317,0,0,19075573.83682,0,39434.000606372,0,2043397.76291748,13223286.438949,0,13223286.438949,0,1646582.9054766,0,0,0,0
