"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48"
3.81100921736359,2.41303713725839,53.2105576921941,1.79863975113085,1.03943537964417,1.30960700852907,2.80956480531496,3.85140449438796,2.26455691412668,3.35507754660498,2.88806182389161,0.4243548490058,0.108047310318063,0.618522187062746,2.37470510942807,2.03214130962418,0.843123209559784,0.943284224211997,0.412740207864316,139.664505620537,1.37250937908581,0.623606368523706,6.77704393410645,0.971826449119507,2.10436120450596,4.3203954624472,2.89229589618344,4.21416415914103,2.25097684754739,20.4863518995645,1.47125139300442,1.36032958240573,2.97183847796937,10.3008011837662,6.64800093601221,3.03036036865085,17.8845138943844,1.52761793584101,9.87654183639341,6.3843522440306,4.26359630949537,1.70033979138771,1.53904804207626,1.27083737765578,1.8092177039151,6.54575891001094,1.00249997953528,22.5287812616373
24.3081036353685,10.9505946624876,247.51724165667,5.16607191539251,3.07584075264893,3.50186936616719,34.5307990046229,11.0018505430031,8.67527794304845,12.3080560815107,13.6101358036619,1.84838237763356,1.41603885745678,2.98109147250221,10.9443005072825,10.8414543671271,2.8292881206184,1.68678665067816,1.23205338448162,351.949134886372,15.699282347528,2.026611589953,11.7631564130795,3.01053304228783,10.5444146190044,22.788641388197,14.2168896171003,19.6423281342906,8.76699628600311,55.41653518222,5.93372725771294,5.93401591532522,11.5162147445061,81.2540056028997,66.5259223656762,12.8163352008526,39.5345946344671,10.7789755734595,36.1996227405689,68.1594583897237,31.868531162049,3.40079375601149,9.98983061173096,11.7415126127534,4.7601713816803,27.5273998624862,4.88242776698272,46.0318290898844
5.7951648390875,3.14147452611072,123.434441378319,2.12526591353803,1.00999579303938,1.47579426388336,2.28362378133257,3.31469172865908,2.93055587494597,3.05931723506597,3.59414338388954,0.637298522635064,0.0942907025888281,0.730305369731542,2.65838183476053,4.23351410549798,0.734167738481603,0.936586657113107,0.567717021395353,120.247957568004,2.81987847233077,0.885123590710843,5.36282354409645,1.19392439591986,3.02350223585132,5.22638362808869,2.64060305224648,6.02593847089489,2.0867358333917,11.8178789903739,1.52421844920812,1.51274822313314,3.18552456056221,36.5435585785374,19.0793728610973,4.35921815670556,15.8562974532443,0.883947579287923,11.7713284352748,15.0260858792375,7.23325640634928,1.95691903681769,1.9093942897005,2.12070493921333,1.86795306227159,7.59397229841927,1.63265080215403,23.6003986125558
12.6118255163643,5.8642978392564,311.429942843046,5.9342877794217,1.52329749595293,2.28316455827316,5.59988716357453,7.1167044662114,5.19719088515311,5.75433549449928,6.11112564486739,1.09866222446076,0.244603863927997,1.5367810706017,5.34891882654997,5.69361347474617,1.57547034722411,1.92641883460905,0.860865774140813,503.349704854891,5.63364871362409,1.59337023351775,11.1968681805765,1.74680764909987,4.88832785005358,8.39735610070618,5.53982459947087,9.93615734011196,3.18447549988757,67.2961096371324,2.92183215670924,2.4848639743182,6.67995115862455,45.0226894316054,31.9885984605269,6.03228022751771,45.3158755058138,2.81786517138398,22.1923683868748,41.9088925744896,13.7208930382634,3.14406333298272,3.59796568836479,9.33269180885978,3.96456028976505,42.8129802541048,3.55059303642396,82.1230085516456
5.81460432799578,2.78692331173755,230.011054083907,3.70284313969713,0.634589109297189,0.601133421207227,2.72647141602719,2.77445670082932,1.81788307820344,2.97873729128,1.99760950931838,0.367320381525732,0.162857104600066,0.809829359600915,2.22212136810671,2.04104456265418,0.830798908606278,0.964762701652513,0.284588026294584,531.918554469118,7.34431208131049,0.588105420594649,6.37725426554938,1.20368857626003,1.85033796124349,5.74725052635386,3.80481703705448,4.08440774005029,1.52979640650632,77.2572690036402,1.59392785983941,1.51209375750728,2.39384944100337,18.9926858091171,23.8841170814613,4.44075025878584,46.7986449753685,2.30690806558632,9.40333492562374,32.5381374892161,7.05933173753242,1.70094897419758,2.08602434874474,8.89825192911402,0.837999449530687,55.2643773168719,0.859429912914438,65.3294803636395
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.76371921761855,1.61554165700406,131.093569503307,2.01973749235088,0.974741972971044,1.56415478557544,1.79773958341696,3.76611490252529,2.80130700692212,1.42272918805521,3.02960957762418,0.532743268112917,0.107875443640669,0.54152754437008,1.80105514121958,2.06501791330782,0.411895709310876,0.503843948923182,0.280277237143649,169.727762177919,2.95678873671632,0.675828637674094,3.75770402630703,1.59970213848556,1.8706749225188,3.47923913482012,1.7706474267494,7.39426475568756,1.66689580156547,9.81717953878653,1.76500433353553,1.49055988969954,3.27908640681041,100.583530293934,21.4835861531432,1.10936862902315,10.080663533335,0.549319733768153,5.07916717710239,6.81214306228837,4.58196252453065,1.70032010807545,1.51569922036291,4.17947004829492,1.51684280913824,14.1200056906493,2.46231769120821,16.7571507280068
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.6379668133971,12.3095938535253,902.824076344433,51.0916582332153,4.48780651261975,10.0841826053362,11.8912817295119,13.9732634130188,18.3839385232084,16.8659020132129,25.4805926990098,5.52377192327315,0.280690632799239,13.0898661553062,17.6091468968177,18.0768783846361,6.66719670272914,11.1504027395563,6.75667414117428,165.472388308693,56.4936547734746,7.52113649415152,15.3785417708751,175.787183328375,15.3127708726283,11.7712244819136,7.28557984104956,63.4252208930649,7.48169247467099,182.982692993511,20.4801394095913,8.1730409798664,13.9431176612711,87.3917518536434,78.8075565586811,3.17825467080886,143.57012211044,48.6056754578992,57.9190139820085,107.523334497807,44.6893370896432,5.10506984831429,3.20697312303053,211.233587018733,14.8252587593961,44.9482259902459,9.35092334363783,226.460232430207
44.303155172316,21.4725526868636,1671.32086783131,43.4738063964003,6.44222023354969,17.3838475347389,53.8324550711042,20.1318876550839,30.1250590849026,37.8037191602625,37.9760920501455,6.65568330509643,0.559891920937466,27.5144136677789,24.4690684249479,30.8507072592606,9.44790635804462,19.0073734093362,9.52034355156296,521.768181593037,239.785528837397,17.0833607102039,27.3404036587283,214.563999892785,24.9611560696132,24.4058928456983,12.0397132555187,86.609256837038,9.0411683194322,290.876350108624,18.1424621916289,11.3710884912463,20.0348227447509,370.57826683327,193.6232072501,8.91888791028899,264.683823082249,142.013507091628,82.9721695776082,139.489914349974,129.930991159884,7.38534684776086,4.61703890840568,366.905060096493,17.0656869966497,128.919000939686,11.8404746313353,307.898440325826
