"EAB_pres","SB_pres","PTB_pres","ALB_pres","JCLB_pres","PWB_pres","EBB_pres","RPBB_pres","MPEB_pres","ELB_pres","SEEBB_pres","BEBB_pres","SWW_pres","PSB_pres","PFW_pres","LC_pres","EPNM_pres","AOW_pres","IPS_pres","CBT_pres","ESN_pres","BM_pres","BL_pres","ELM_pres","ESB_pres","MW_pres","SM_pres","EPS_pres","WM_pres","EFW_pres","BVW_pres","IWLB_pres","JB_pres","LS_pres","MAS_pres","ABL_pres","EPSM_pres","PS_pres","EL_pres","OW_pres","WPBR_pres","CB_pres","CDC_pres","DWA_pres","SC_pres","ELC_pres","EPLR_pres","DED_pres","PRR_pres","POCRD_pres","SOD_pres","LW_pres","BC_pres","WS_pres","ESGA_pres","BWA_pres","HWA_pres","CRS_pres","GM_pres","GOS_pres","EP_pres","JS_pres","BBD_pres","SJS_pres","GSA_pres","CS_pres","EHS_pres","RLP_pres","CCS_pres","OS_pres","PHM_pres","RPS_pres","CHS_pres","PT_pres","IBT_pres"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,32064.9668137011,0,1386.09625275564,0,671090.66458049,671090.66458049,0,5799.95460133058,0,671090.66458049,671090.66458049,60548.2812649137,317710.878319279,381308.922613163,0,0,0,72653.1522275435,0,24878.9159591533,0,0,0,2468.72250906095,0,83647.9295686083,0,839376.564943155,2468.72250906095,30678.8705604839,317710.878319279,0,24878.9159591533,381308.922613163,1082.62625630531,0,50500.3364685954,60548.2812649137,0,0,0,0,317710.878319279,928253.26168102,0,0,0,0,0,0,1386.09625275564,72653.1522275435,2146569.28515091,0,0,395558.85324501,0,0,0,0,33147.5930723146,72653.1522275435,0,72653.1522275435,0,0,33147.5930723146,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,519004.467696526,0,159209.612401903,0,2286666.20794688,2286666.20794688,0,0,0,2286666.20794688,2286666.20794688,305749.106513934,1953487.28134847,813924.46671083,0,0,0,1380102.26978594,0,519004.467696526,0,0,0,154918.876335004,0,833132.956289849,0,1676039.29400658,314128.488736907,519004.467696526,1953487.28134847,0,519004.467696526,813924.46671083,154918.876335004,0,0,308348.608747595,0,0,0,0,1953487.28134847,3931804.88021564,0,0,0,0,0,0,0,1380102.26978594,3296674.4869075,0,0,2786620.23759359,0,0,0,0,833132.956289849,1380102.26978594,0,1380102.26978594,0,0,673923.34403153,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10512395.1621283,0,562634.810365572,562634.810365572,0,0,0,562634.810365572,562634.810365572,0,0,0,0,0,0,0,0,7120200.73953533,0,0,0,0,0,49895028.8361499,0,133436920.159499,10512395.1621283,39382633.6740216,0,0,7120200.73953533,0,0,0,0,0,0,0,0,0,0,562634.810365572,0,0,0,742433.296201477,0,0,0,0,44749596.6340162,0,0,17632595.9016636,0,0,0,0,49895028.8361499,0,32262432.9359263,0,0,0,39382633.6740216,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,17224652.2886526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10844254.7536974,0,0,0,0,0,53447181.509557,0,87492342.4035559,17224652.2886526,36222529.2209044,0,0,10844254.7536974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36310366.8746667,0,0,28068907.0423501,0,0,0,0,53447181.509557,0,25378274.467207,0,0,0,36222529.2209044,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,540255.350646629,0,176829.169414036,0,2686467.94877147,2686467.94877147,0,6365.78237096831,0,2686467.94877147,2686467.94877147,298713.777083581,1537279.70447189,1166722.6999286,0,0,0,478996.541631569,0,532368.24824823,0,0,0,174985.341049995,0,944454.232654485,0,1605632.67085703,350293.190437107,538734.030619198,1537279.70447189,0,532368.24824823,1166722.6999286,173464.02102307,0,55427.0117124715,298713.777083581,0,0,0,0,1537279.70447189,3925033.87584112,0,0,0,0,0,0,1521.3200269245,478996.541631569,4341756.51150619,0,0,2475368.15470981,0,0,0,0,889027.220911613,478996.541631569,0,478996.541631569,0,0,713719.371672233,0,0,0,0,0
0,0,0,802696.692102723,0,246234.930872868,0,3536577.26533348,3536577.26533348,0,0,0,3536577.26533348,3536577.26533348,472874.149814838,3021279.92416443,1258822.45281995,0,0,0,2134477.8237408,0,802696.692102723,0,0,0,239598.842241741,0,1288530.46499526,0,2592176.52422969,485833.773114609,802696.692102723,3021279.92416443,0,802696.692102723,1258822.45281995,239598.842241741,0,0,476894.561919063,0,0,0,0,3021279.92416443,6080962.62706519,0,0,0,0,0,0,0,2134477.8237408,5098664.59786894,0,0,4309810.38909051,0,0,0,0,1288530.46499526,2134477.8237408,0,2134477.8237408,0,0,1042295.53434446,0,0,0,0,0
0,0,0,647612.018631568,0,304555.584172146,0,6571338.05290465,6571338.05290465,0,674.711752941089,0,6571338.05290465,6571338.05290465,520441.744086669,5848981.99804542,1466885.92388097,0,0,0,5195792.37385656,0,633858.737286727,0,0,0,553264.445618233,0,1479274.90903036,0,2252860.94083367,844741.46012142,634533.449030204,5849508.93293561,0,633858.737286727,1466885.92388097,540185.875949274,0,0,610781.095727121,0,0,0,0,5849508.93293561,11809538.954204,0,0,0,0,0,0,13078.5695946039,5195792.37385656,7606381.96329294,0,0,7328109.13002758,0,0,0,0,1479274.90903036,5195792.37385656,0,5195792.37385656,0,0,1187797.89467548,0,0,0,0,0
0,0,0,246030.67817666,0,195335.873695199,0,6560694.19341805,6560694.19341805,0,929.899009653255,0,6560694.19341805,6560694.19341805,419972.421059322,6539697.51271789,1063914.00266723,0,0,0,6649849.6121681,0,227075.67606457,0,0,0,541991.871003292,0,947308.216573013,0,2228885.12454427,719302.64148985,228005.575061181,6540423.74318652,0,227075.67606457,1063914.00266723,523966.767794651,0,0,544479.62470145,0,0,0,0,6540423.74318652,12555912.0805029,0,0,0,0,0,0,18025.1031061634,6649849.6121681,7941297.38213881,0,0,7486802.06049429,0,0,0,0,947308.216573013,6649849.6121681,0,6649849.6121681,0,0,769997.446101737,0,0,0,0,0
0,0,0,246030.67817666,0,195335.873695199,0,6560694.19341805,6560694.19341805,0,929.899009653255,0,6560694.19341805,6560694.19341805,419972.421059322,6539697.51271789,1063914.00266723,0,0,0,6649849.6121681,0,227075.67606457,0,0,0,541991.871003292,0,947308.216573013,0,2228885.12454427,719302.64148985,228005.575061181,6540423.74318652,0,227075.67606457,1063914.00266723,523966.767794651,0,0,544479.62470145,0,0,0,0,6540423.74318652,12555912.0805029,0,0,0,0,0,0,18025.1031061634,6649849.6121681,7941297.38213881,0,0,7486802.06049429,0,0,0,0,947308.216573013,6649849.6121681,0,6649849.6121681,0,0,769997.446101737,0,0,0,0,0
0,0,0,106175.417378067,0,125581.287219463,0,8294535.82696972,8294535.82696972,0,6795.45486496483,0,8294535.82696972,8294535.82696972,332768.353478755,5865483.66000087,2442754.91042117,0,0,0,4233152.87125564,0,87658.0234176112,0,0,0,392901.119666836,0,601213.94602007,0,1718146.7669598,506760.467721742,94453.4782740943,5865955.93631875,0,87658.0234176112,2442754.91042117,381179.18050228,0,0,423533.231644681,0,0,0,0,5865955.93631875,13736486.2542744,0,0,0,0,0,0,11721.9390979141,4233152.87125564,5650273.27470209,0,0,6460374.42761644,0,0,15401.3315757216,0,601213.94602007,4233152.87125564,0,4233152.87125564,0,0,487354.597965164,0,0,0,0,0
0,0,0,378927.601227445,0,175986.306733815,0,7097341.09711068,7097341.09711068,0,44514.5308020398,7234.50244136162,7097341.09711068,7097341.09711068,658468.494912021,4651364.82892244,1864656.39343964,0,0,0,3330586.04628361,0,332480.193668543,0,0,0,338360.118677997,0,1033917.17683893,7234.50244136162,3864844.09799926,505179.046175929,378231.211110322,4651660.63573156,0,332480.193668543,1864656.39343964,329192.739442114,7234.50244136162,150506.919600294,715318.410890037,0,0,0,0,4651660.63573156,11033387.5145851,7234.50244136162,0,0,0,0,0,9167.3791941425,3330586.04628361,8949616.95608868,0,0,5641063.28174329,0,0,9646.51111445035,0,883410.257222786,3330586.04628361,0,3330586.04628361,0,0,715354.843160032,0,0,0,0,1236.48664078309
0,0,0,118860.246522364,0,149289.088351325,0,8589122.25386293,8589122.25386293,0,718.886989695685,0,8589122.25386293,8589122.25386293,395589.862335122,6007332.8718399,2174528.63288804,0,0,0,4412921.85767029,0,104206.49996862,0,0,0,467074.763016015,0,707354.378698229,0,1684114.30381532,602428.991721187,104925.386948233,6007894.30660863,0,104206.49996862,2174528.63288804,453139.903369863,0,0,503489.7430875,0,0,0,0,6007894.30660863,14092965.3813653,0,0,0,0,0,0,13934.8595669286,4412921.85767029,5437598.23649189,0,0,6714529.79848667,0,0,18308.8643319752,0,707354.378698229,4412921.85767029,0,4412921.85767029,0,0,572000.149993056,0,0,0,0,0
0,0,0,80610.5627719057,0,104623.505416316,0,7041964.00007056,7041964.00007056,0,8738.0371052083,0,7041964.00007056,7041964.00007056,298049.177164938,6042793.75247474,1301729.88224666,0,0,0,5763209.8244895,0,69233.1676681894,0,0,0,299444.831672077,0,474315.277630023,0,946205.316161287,396344.072850702,77971.2047744939,6043104.96267822,0,69233.1676681894,1301729.88224666,291720.567434386,0,0,624393.640891138,0,0,0,0,6043104.96267822,12460364.1109613,5084.90619255716,0,0,0,0,0,7724.26419377632,5763209.8244895,6398833.35209742,0,0,6508682.20400341,0,0,10148.8288783204,0,474315.277630023,5763209.8244895,0,5763209.8244895,0,0,377416.03646254,0,0,0,0,0
0,0,0,206293.593075,0,259105.82675,0,7784429.1125,7784429.1125,0,1247.6987425,0,7784429.1125,7784429.1125,378441.04625,7084992.19,1158028.16075,0,0,0,6972250.405,0,180860.581475,0,0,0,727221.525,0,1144250.319,0,964850.97275,962142.03875,182108.2802,7085966.615,0,180860.581475,1158028.16075,703036.212,0,0,540534.47625,0,0,0,0,7085966.615,14328886.825,0,0,0,0,0,0,24185.3128625,6972250.405,7769363.685,0,0,8228969.235,0,0,0,0,1144250.319,6972250.405,0,6972250.405,0,0,909329.80525,0,0,0,0,0
0,0,0,105364.195285287,0,136750.955173307,0,6230946.88216706,6230946.88216706,0,11421.2854532275,0,6230946.88216706,6230946.88216706,260937.89008542,6503553.96729423,609373.526260292,0,0,0,7246248.64815714,0,90493.0662629295,0,0,0,356568.348526457,0,585137.448951589,0,419352.704078717,483223.09722769,101914.35171759,6503960.74292668,0,90493.0662629295,609373.526260292,346472.142054383,0,0,676984.817920009,0,0,0,0,6503960.74292668,12057516.0310195,6646.36284200066,0,0,0,0,0,10096.206414674,7246248.64815714,7667406.41362396,0,0,7077676.90724088,0,0,0,0,585137.448951589,7246248.64815714,0,7246248.64815714,0,0,458482.700264919,0,0,0,0,0
0,0,0,105364.195285287,0,136750.955173307,0,6230946.88216706,6230946.88216706,0,11421.2854532275,0,6230946.88216706,6230946.88216706,260937.89008542,6503553.96729423,609373.526260292,0,0,0,7246248.64815714,0,90493.0662629295,0,0,0,356568.348526457,0,585137.448951589,0,419352.704078717,483223.09722769,101914.35171759,6503960.74292668,0,90493.0662629295,609373.526260292,346472.142054383,0,0,676984.817920009,0,0,0,0,6503960.74292668,12057516.0310195,6646.36284200066,0,0,0,0,0,10096.206414674,7246248.64815714,7667406.41362396,0,0,7077676.90724088,0,0,0,0,585137.448951589,7246248.64815714,0,7246248.64815714,0,0,458482.700264919,0,0,0,0,0
0,0,0,96308.3254325268,0,31165.6563966346,0,6058901.88425449,6058901.88425449,0,21247.0668654379,0,6058901.88425449,6058901.88425449,97518.1455247828,4899344.46926446,1478536.93842448,0,0,0,5004276.79458383,0,81356.5217586209,0,0,0,51847.4132148687,0,185616.658238827,0,31263.19733649,83013.0696115033,102603.588633708,4899344.46926446,0,81356.5217586209,1478536.93842448,51847.4132148687,0,0,547261.820429713,0,0,0,0,4899344.46926446,10410984.5334934,6295.26319152538,0,0,0,0,0,0,5004276.79458383,5361002.93223624,0,0,5063714.06198216,0,0,5596.45181974996,0,185616.658238827,5004276.79458383,0,5004276.79458383,0,0,154451.001851182,0,0,0,0,0
0,0,0,67654.1359797284,0,153292.742823492,0,6938976.92100974,6938976.92100974,0,26787.1708771026,2362.83060716389,6938976.92100974,6938976.92100974,60485.1419389936,3396308.72657436,1419166.89511025,0,0,0,3815812.59776684,0,50460.975644604,0,0,0,138547.757616904,0,369088.646961089,2362.83060716389,46046.5985491005,291840.500444206,77248.1465276917,3414737.91484152,0,50460.975644604,1419166.89511025,138547.757616904,2362.83060716389,0,540221.016722911,0,0,0,0,3414737.91484152,9795064.63129986,9594.01054254366,0,0,0,0,0,0,3815812.59776684,4057896.56707184,0,0,3757039.39172816,0,0,30126.9280371391,0,369088.646961089,3815812.59776684,0,3815812.59776684,0,0,215795.904109001,0,0,0,0,0
0,0,0,35721.0315000946,0,26642.8567393515,0,6218423.58463747,6218423.58463747,0,20728.4954947683,0,6218423.58463747,6218423.58463747,215844.217918393,4924737.34063069,1460710.10065149,0,0,0,4541120.67543691,0,21186.954385992,0,0,0,83477.5692395754,0,152035.875856821,0,782780.982416193,110120.425978927,41915.4498889043,4924737.34063069,0,21186.954385992,1460710.10065149,83477.5692395754,0,0,551974.342027588,0,0,0,0,4924737.34063069,10591186.5827401,6194.41837930825,0,0,0,0,0,0,4541120.67543691,5183663.50854515,0,0,5056044.72207221,0,0,17870.0760867554,0,152035.875856821,4541120.67543691,0,4541120.67543691,0,0,125393.019131043,0,0,0,0,0
0,0,0,50043.1892800585,0,37325.1685849362,0,4829298.83350667,4829298.83350667,0,29039.4756246829,0,4829298.83350667,4829298.83350667,134429.030132605,5078064.9640613,620455.019266832,0,0,0,5987507.88675448,0,29681.7511723689,0,0,0,71471.8008207809,0,167518.196198753,0,29354.7978115503,108796.969405717,58721.2268084612,5078064.9640613,0,29681.7511723689,620455.019266832,71471.8008207809,0,0,591605.571537159,0,0,0,0,5078064.9640613,9315758.22583093,8678.03751509176,0,0,0,0,0,0,5987507.88675448,6352800.85509759,0,0,5216543.68584695,0,0,7714.72412917908,0,167518.196198753,5987507.88675448,0,5987507.88675448,0,0,130193.027632833,0,0,0,0,0
0,0,0,38793.5097870317,0,85254.0134270222,0,5587339.66828263,5587339.66828263,0,29909.8738298418,3011.66048252366,5587339.66828263,5587339.66828263,77094.2746404276,2912241.0136791,928894.861463958,0,0,0,4315938.11472316,0,17022.3133681334,0,0,0,141732.217225797,0,273918.417848491,3011.66048252366,33209.8458707995,226986.230623783,46932.1872045184,2912241.0136791,0,17022.3133681334,928894.861463958,141732.217225797,3011.66048252366,0,434951.865687066,0,0,0,0,2912241.0136791,8064628.81625441,8138.67741057886,0,0,0,0,0,0,4315938.11472316,4018886.89144368,0,0,3156249.55836354,0,0,20799.3882333224,0,273918.417848491,4315938.11472316,0,4315938.11472316,0,0,188664.40438882,0,0,0,0,0
