"V1","V2","V3","V4","V5","V6"
1.80916169876096e-06,3.306110714721e-06,8.71641728968477e-07,2.97698688116283e-07,2.89698493059202e-07,2.82717613244454e-07
0.000332401315032818,0.000305567927817512,2.7432413091605e-05,4.03289911609363e-06,2.18159972029888e-06,1.84313269212888e-06
2.06721665545411e-05,2.71967718122158e-05,8.32218754957284e-06,2.74821835438724e-06,2.67570954931075e-06,2.61254319382253e-06
0.000341308562852466,0.000290920807770341,2.68296005673118e-05,3.46705320473137e-06,1.80256836143416e-06,1.52411498213816e-06
6.75089230783559e-06,9.53704196523154e-06,2.43802246652701e-06,1.04024936470759e-06,1.0096157050611e-06,9.82683587843706e-07
3.42528472598875e-05,3.26438847240596e-05,9.56221355058454e-06,2.71992201652577e-06,2.63904406860932e-06,2.56788649085879e-06
5.62201143604017e-06,6.91580149160125e-06,1.66319893695999e-06,7.12338835529173e-07,0,0
1.35906435059052e-05,1.1580874419512e-05,2.55863076398879e-06,1.0990714710995e-06,1.0665411966766e-06,1.03793060617817e-06
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2.62388602398005e-06,0,0,0,0
0,1.76067204694138e-06,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0006026019403287,9.88013154839103e-05,3.01084272998995e-05,9.17466264909399e-06,4.91497757799104e-06,3.54167774468383e-06
0.00085413505308616,0.000138404512055489,4.76315282950214e-05,1.67423967070016e-05,8.38364601122731e-06,5.82475904297368e-06
0.0019275264837145,0.00153040617285548,0.0011978085706056,0.000678998038465686,0.000310929638560833,0.000193521496801702
0.00016452174622424,0.000855927178809244,0.000491344285525669,0.000182746324452593,0.00010048760149929,7.32716589478345e-05
0.00025716243401295,0.0013486944476651,0.000208415359781202,0.0001816007087202,0.000139964836794987,2.42955684606251e-05
0.000947539584313344,0.000152113713580507,4.60738989336194e-05,1.43391407100271e-05,7.71742925810675e-06,5.55394374965873e-06
0.000212584185064357,0.000117845948299939,9.40226083702998e-05,5.56852439305344e-05,2.63612328375863e-05,1.58566440381122e-05
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.00019420543588006,0.000103258920067425,8.8259740955376e-05,5.72087862064295e-05,2.6936563623302e-05,1.6038904351616e-05
0.000267545813298594,0.000147735744293081,0.000234863582191112,0.000245343195892658,0.00019480246940794,0.000171167062126456
0.000241837513791624,0.000131507426103734,0.000922206428101009,0.000115005313259826,0.000296342559323609,0.000196402856735941
0.000280754586138578,0.000161610630823874,0.000123047077224774,0.000174668033508748,0.000304863296086618,0.000197441742457898
0.00378412251776257,0.00313791969946953,0.000584877079673949,0.00038984267751565,0.000297943032491632,0.000263692149822305
