"V1","V2","V3","V4","V5","V6"
7.23664679504384e-06,1.54367419888207e-05,4.7949454752688e-06,1.62321174459711e-06,1.15879397223681e-06,1.13087045297782e-06
0.000332401315032818,0.000392198470906101,0.000101143367319748,2.65854505372611e-05,1.93145690739964e-05,1.5443066392523e-05
2.06721665545411e-05,3.39711474792828e-05,1.19200982746399e-05,3.746187409983e-06,2.67570954931075e-06,2.61254319382253e-06
0.000341308562852466,0.000383116454268136,9.97131975896539e-05,2.6336445002988e-05,1.8124614160068e-05,1.44065854428577e-05
6.75089230783559e-06,1.24257403533943e-05,3.19320373717987e-06,1.41799834321363e-06,1.0096157050611e-06,9.82683587843706e-07
3.42528472598875e-05,4.64667118921601e-05,1.74275243927903e-05,3.70761573518283e-06,2.63904406860932e-06,2.56788649085879e-06
5.62201143604017e-06,9.60335669223884e-06,2.17837740795707e-06,9.71012646444657e-07,0,0
1.35906435059052e-05,1.70362593371428e-05,4.87353497132737e-06,1.49818070355711e-06,1.0665411966766e-06,1.03793060617817e-06
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2.62388602398005e-06,0,0,0,0
0,1.76067204694138e-06,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
