"V1","V2","V3","V4","V5","V6"
1.26641318913267e-05,3.53006373075932e-05,2.53048998592119e-05,9.27184086163952e-06,2.70926040776041e-06,2.08289963375817e-06
0.000332401315032818,0.000510973122019329,0.000283970451922592,0.000114811473553431,6.98475814953626e-05,5.18375500589111e-05
2.06721665545411e-05,4.80906554836637e-05,3.16480999526132e-05,1.22304407598752e-05,3.57474809070972e-06,2.74967216486649e-06
0.000341308562852466,0.000508660084206586,0.000275453428378492,0.000115219136034056,6.88623848997905e-05,5.12889333119608e-05
6.75089230783559e-06,1.73934448439891e-05,1.03724167524793e-05,5.02481022802351e-06,1.3488466320821e-06,1.03426336251745e-06
3.42528472598875e-05,6.84747652331157e-05,4.33347727881322e-05,1.81251938689437e-05,5.71898675222421e-06,4.26110594692556e-06
5.62201143604017e-06,1.3451236593504e-05,6.66018407641811e-06,3.64264211520039e-06,0,0
1.35906435059052e-05,2.71591579118134e-05,1.52142967984238e-05,6.12988489960694e-06,1.42489909170637e-06,1.09241022449674e-06
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2.62244351222396e-06,0,0,0,0
0,1.75895916931583e-06,1.15022943378906e-06,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0006026019403287,0.000592408584710815,0.000456847294966827,0.000243216174340215,0.000170164190537112,0.00012551018444609
0.00085413505308616,0.000819324999177476,0.000680817898835638,0.000400368197275833,0.000309133985372632,0.000230594975752121
0.00192535268935779,0.00220210029960938,0.00223906398273588,0.00173710764747443,0.00130933090273106,0.000987644843859877
0.000806758398677123,0.00140127948784301,0.001163344222223,0.00071931671154733,0.000566671164400739,0.000427659907595459
0.0012530724071654,0.00202317074495839,0.00156212648248571,0.00200657633683294,0.00168210161593765,0.000738463274756332
0.00094661776621774,0.000868819815136622,0.000698204402100884,0.000417289868447905,0.000333485202389024,0.000253572743249034
0.00100807478655859,0.00118691301802458,0.00128218262492661,0.0010585040424338,0.000794352881456627,0.000606221734977075
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.00094080033891821,0.00102018427132864,0.00114750518439713,0.000945768933816119,0.000685044175501972,0.000505624807664576
0.00128956604844108,0.00136158819420537,0.0023104965421643,0.00247443016671562,0.00201097071929976,0.00171826663261767
0.00114515270011013,0.00121868600618794,0.00170034325483943,0.000973912166807941,0.000941296897192169,0.000711738721012713
0.00133680492333899,0.00149020310634192,0.00154792377116115,0.00191036048857318,0.00123414365671869,0.000928211302355249
0.00378025278702374,0.00393895986134808,0.00363315417325666,0.00369987953133248,0.00302995350632227,0.00261951572654365
0.00384086720651748,0.00392497050735563,0.00435353669847483,0.00405353372433955,0.00328118454775607,0.00280498858900776
0.0034391870787659,0.00367703960379216,0.00478921713893701,0.00360550797331824,0.00292967265049191,0.00350879772879291
0.00340748314692385,0.00362092248527983,0.00405633884596839,0.00387458821822678,0.00314890872223026,0.00266625537624134
0.0014885790933479,0.00168173337522474,0.00299723066882037,0.0032609683103721,0.00271056436479621,0.0023282179863648
0.00197961159982891,0.00223162519349193,0.00253734001230073,0.00248361068594929,0.00204111030754732,0.00173239011728915
0.00123026652080692,0.00138626350548245,0.00253824372778493,0.00286606322991997,0.00239085645086103,0.00206014663558503
0.00132223474636258,0.00145728121846318,0.00275575466881595,0.00304220748732409,0.00252692613544111,0.00218934408973552
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1.85895593462829e-06,1.29588647774383e-06,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
4.58908358542646e-05,9.18035945556326e-05,5.10248749897123e-05,1.54263882170572e-05,2.86945740760548e-06,2.21019357681717e-06
0.000308511971433645,0.000457649527998731,0.000317512679913881,0.000129166334532958,7.83073710560598e-05,5.65738777743538e-05
3.43653817024265e-05,8.27323586504409e-05,5.15545512926314e-05,1.59374210174257e-05,3.84667151565985e-06,2.96240363424122e-06
0,0,0,0.000122899567984944,0.000790583798399062,0.00197266911329579
0,0,0,2.26483140055628e-05,7.4703227529007e-05,0.000122621821118025
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.000435864386748317,0.0209828652049153,0.0483980403166313,0.0862958256376918
0,0,0.00504014075089454,0.0450819386782769,0.0813320374022161,0.128253916617371
0.00133031397099167,0.00143683901529076,0.00137326959901622,0.000803879151131363,0.000436439176314124,0.000324351661148373
0.000834921402916194,0.000978154437284813,0.00113333452216196,0.000717386937835084,0.000550274053637115,0.000407891155966511
0.000669932454956286,0.000765594959302712,0.000808411283193198,0.000314412531184072,0.000212842613388349,0.000152055045136365
0.000731006595025009,0.000871154518370489,0.000732135887013109,0.000453649669016588,0.000360297254681461,0.000272191190887748
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2.71023679634953e-06,1.91207663861089e-06,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
