"V1","V2","V3","V4","V5","V6"
1.80916169876096e-05,3.85918549720518e-05,1.24378802791448e-05,4.11626451152338e-06,2.89698493059202e-06,2.82717613244454e-06
0.000332401315032818,0.000404317938261127,0.000102271624043608,2.69474724877915e-05,1.9277522590484e-05,1.56085767016392e-05
2.06721665545411e-05,3.52688071944357e-05,1.23690916341729e-05,3.79994744137492e-06,2.67570954931075e-06,2.61254319382253e-06
0.000341308562852466,0.000399083748403091,0.000100326197742022,2.56173360348712e-05,1.80194744434478e-05,1.45375709936512e-05
6.75089230783559e-06,1.24257403533943e-05,3.31514674904742e-06,1.43834746809769e-06,1.0096157050611e-06,9.82683587843706e-07
3.42528472598875e-05,4.96153043389734e-05,1.68886609078445e-05,3.76082223995657e-06,2.63904406860932e-06,2.56788649085879e-06
5.62201143604017e-06,9.60335669223884e-06,2.26156593082443e-06,9.84947259063263e-07,0,0
1.35906435059052e-05,1.90789070324893e-05,5.06531717079359e-06,1.51968049330051e-06,1.0665411966766e-06,1.03793060617817e-06
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2.62388602398005e-06,0,0,0,0
0,1.76067204694138e-06,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0006026019403287,0.000303262753781012,0.000165051997588588,6.79595449607688e-05,5.04829525106071e-05,3.94645847449853e-05
0.00085413505308616,0.000420990056946438,0.00026010576062283,0.000123331989666179,9.17096581034279e-05,7.1209097202569e-05
0.0019275264837145,0.00189816826377908,0.00162723890172908,0.0011037542852724,0.000754452261945376,0.000574945037933145
0.000485980430052613,0.00116386302554991,0.000744457706237648,0.000372485943424589,0.000294613935126331,0.000230413871440957
0.000755937447706068,0.00170472290366513,0.000701516253171,0.000890438074341309,0.00074176731281276,0.000255729149421685
0.000947539584313344,0.00044169913225198,0.000263005314158772,0.000120481485008094,9.46144005489138e-05,7.46714413389021e-05
0.000611101357534891,0.000580153423057751,0.000526761157025506,0.000380125370364895,0.000263116231861329,0.000199648049243761
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.000567751469012293,0.00051625542877294,0.000487682751112023,0.000360980031518377,0.000240378919538426,0.000181891766404703
0.000779134951664753,0.00070233926006079,0.00111361132353489,0.00117378628390711,0.000957239871230072,0.000845954634979548
0.000694354974438901,0.000623979354906475,0.00126004694888232,0.000420360687325867,0.000598465361911711,0.000466234102955504
0.00080933073442224,0.000762127371128347,0.000660789269543244,0.000860691580742346,0.000717016131274678,0.000553707090194206
0.00378412251776257,0.00358298562973463,0.00185327539324825,0.00177095966872436,0.00144986587515202,0.0012894085580319
0.00384747904135409,0.00356463130770458,0.00360482561658598,0.00331407856377157,0.00267504796639642,0.00236284423074767
0.00344394424332154,0.00331317452186366,0.003931515657732,0.00178729980183766,0.00137781935736047,0.00288898061455949
0.00341607067679019,0.00325297648090272,0.00332405950906779,0.00310672402300067,0.00251092605505081,0.00219286428830306
0.000900904501324474,0.000839137419558866,0.00141305814386836,0.00151072891155406,0.00125376273791623,0.00110558840641351
0.00198902869333702,0.00189786583429308,0.00123999617555474,0.00113905707240382,0.000932003819047078,0.000811647589865906
0.00074935398869247,0.000688648898179544,0.00119782417640892,0.00132634683972392,0.00111267816513108,0.000982943062470279
0.000810524384660674,0.000728499535874235,0.00130629671390731,0.00143369265854365,0.00120294535798485,0.00106713657157388
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1.85895593462829e-06,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
4.58908358542646e-05,7.6761127588341e-05,1.58841578473172e-05,3.0460370460698e-06,2.14779738097464e-06,2.09996895627168e-06
0.000308511971433645,0.000383973073289825,0.000171749250986711,4.88161477418586e-05,3.79085329468007e-05,2.99220895238467e-05
3.43653817024265e-05,6.8525499560145e-05,1.68569860364452e-05,4.08405668358007e-06,2.87924503946493e-06,2.814665526633e-06
0,0,0,0.000109903983733815,0.000678454400068968,0.00128772728392658
0,0,0,1.89129837674389e-05,7.2468059281371e-05,9.9355844769072e-05
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.00038361538340573,0.0187346341578918,0.0439989381706954,0.079063936713173
0,0,0.00462137955452197,0.0388794966585812,0.0621776874981237,0.092622750720307
0.000820020373471019,0.000733244831724025,0.000942589953224568,0.000518195325111228,0.000167503243526363,0.000123246821364045
0.000512344929994231,0.000472092973265381,0.000737948266290751,0.000439408515256584,0.000340149943165215,0.000263634408572471
0.000420188584363843,0.000380776333379746,0.000486669929390989,0.000117772771489929,7.68044934730992e-05,5.72948787317844e-05
0.000451745554514983,0.000421552223473404,0.000270864159974156,0.000150176614270676,0.000117203559050687,9.0927593602808e-05
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2.71023679634953e-06,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,5.96771622192483e-06,0.00923561636516857,0.0226372010588884,0.0342184447345144
0.000737969781129994,0.000365250200720136,0.000491042864537879,0.000105342997842903,7.12309420603525e-05,5.52254071550724e-05
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,7.30493560559918e-05,0.000403645769835914,0.000658504255019364
0,0,0,2.28139366961108e-06,4.63527170802466e-06,1.29742774135884e-05
0,0,0.0107997181232981,0.0645313639488894,0.0986546556571216,0.141680743154336
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,5.60751894769624e-05,0.000137444572014993
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2.83845287543438e-06,0,0,0,0
4.35071835013091e-05,4.38796881475247e-05,5.0978445739105e-06,0,0,0
0.000206855190989865,0.000197151888045677,6.97077097472178e-05,2.07692807169502e-05,1.49586595550242e-05,1.29148580032141e-05
0.000101291281352351,0.000127868140524752,2.97842950673203e-05,7.22479139785829e-06,6.02787144500128e-06,4.86019621805514e-06
0.000415486872782448,0.000442825540194583,0.000108627991304776,3.71330624476677e-05,2.73110402431326e-05,2.02415116700732e-05
0.000124151628085557,0.00012385825852616,2.51852619986856e-05,0,0,0
2.84587673065873e-06,9.53128231597189e-07,0,0,0,0
0.000261199612887013,0.000258380349591599,0.000113474838739142,3.52837547661284e-05,1.95674534127308e-05,6.66250119569265e-06
0.00020789584267925,0.000205933254641396,0.000111853172164611,3.48924577935364e-05,1.93723658697867e-05,6.57030789446855e-06
0.000129521721541756,0.000128465951069443,3.21633959227868e-05,0,0,0
8.71640360131084e-05,8.6678033931816e-05,2.32938897963446e-05,0,0,0
0.000167768966836286,0.000149555941349061,7.39606377462532e-05,1.36417279838743e-05,7.03061123416901e-06,5.78412356723688e-06
0.000455968259967885,0.000417491229195371,0.000166565125853032,7.2140892000226e-05,3.93085635782064e-05,2.57945777839345e-05
0.000339626972888997,0.00033090291117531,0.000130962499674592,6.21018286629368e-05,3.15214404832807e-05,2.17004940226716e-05
0.000263404841766809,0.000260273478379106,0.000121326039953894,4.27098975568726e-05,1.96399785134827e-05,1.65406985820151e-05
0.000172968213099527,0.000171076962478932,7.59825766089015e-05,1.39590397288097e-05,7.19470339373674e-06,5.91958330751652e-06
0.000138260466226826,0.00013803800905477,3.26292977136493e-05,1.27168545198648e-05,6.55240378278876e-06,0
0.000265234680327378,0.000261348615075255,0.000120440629130692,3.50005600775796e-05,1.94206333742208e-05,6.55271162228551e-06
0.000177804869026241,0.000175992319874993,8.24707778419473e-05,1.41541502565061e-05,7.29560761377506e-06,6.00288594829288e-06
0.000141937660160028,0.000140974348319421,5.94746450713293e-05,1.29473824750229e-05,6.67158802167573e-06,0
0.000120875662128977,0.000120692914413779,2.45557907132978e-05,0,0,0
0.000145072324178137,0.000143358991830719,6.03202904591079e-05,1.30647198408484e-05,6.73225484892468e-06,5.53785482207388e-06
0.000122896540219572,0.000122693187404726,3.09730017705878e-05,0,0,0
4.81473747490627e-06,1.25913193041189e-05,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,5.60751894769624e-05,0.000137444572014993
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1.43588218458004e-06,0,0,0,0
0,0,0,0,0,0
0.000344200436399235,0.000316742097566728,0.000148090643543783,5.4760873025402e-05,4.36640497683136e-05,3.6487215641402e-05
0.000485100737237834,0.000435244031464087,0.000119932241484681,5.25855117837509e-05,3.66496109704087e-05,3.11248867942742e-05
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.000341603307249083,0.000315337461350155,0.000146158824816339,6.89795821978456e-05,4.02049585553847e-05,3.57892046778377e-05
0.000377708899900942,0.000314866943352558,0.000144168912134637,5.92968756984229e-05,3.71267888550718e-05,2.93316798684656e-05
0.000548063204440496,0.000278424342182608,0.000141217200210112,7.30989526046438e-05,4.5965043974168e-05,3.67701980273054e-05
0.000476353113174516,0.000443394635486089,0.000141496403332759,4.71187108409382e-05,2.73348704251458e-05,1.99488963958008e-05
0.000485891104500617,0.000461289955851675,0.000145662986613939,5.32953200469269e-05,3.28551046172322e-05,2.29788318060584e-05
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
9.71297430132338e-07,2.02952038856337e-06,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.000298422248645443,0.000278333982298252,0.000139129661107564,6.82538820622609e-05,3.87316235881619e-05,3.83150631074588e-05
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.04408383817424e-06,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.000238033122019677,0.000156145687148353,5.74500206609779e-05,2.2528131316647e-05,1.26604269149341e-05,9.03374051292671e-06
0.000295027711413516,0.000182393085398606,7.11911448843712e-05,3.03032478342541e-05,1.81226944167837e-05,1.58623614661778e-05
0.00018901807949032,0.000162293771915026,5.73430294940377e-05,1.44689518913208e-05,6.34422893540698e-06,4.88149644650536e-06
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.000442859043592163,0.000441057133419395,0.000226136106625832,5.01891518862517e-05,1.64227461720758e-05,9.67313351842832e-06
7.48730172465548e-07,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
7.78187449856408e-07,0,0,0,0,0
3.00043803854632e-06,9.13591057538431e-07,0,0,0,0
7.45053794046122e-05,7.38634069544494e-05,2.32142942514901e-05,0,0,0
2.71915600531645e-05,2.62553991309222e-05,0,0,0,0
6.62782228299256e-06,4.72554824035664e-06,0,0,0,0
0.000211991144221345,0.00020986867074678,0.000121208854352605,4.31404327591252e-05,1.98805333411346e-05,1.67542325435746e-05
0.000171674001972869,0.00017108996782078,9.15106379497147e-05,1.43306288645676e-05,7.38699860497404e-06,6.07843650076273e-06
7.45811011079049e-05,7.37805250535908e-05,2.36994843033994e-05,0,0,0
0.000178095562292025,0.00018510977470727,9.45053527003459e-05,3.30615545842466e-05,7.60094658954865e-06,6.25508570393959e-06
3.94609455264988e-05,3.91107505695601e-05,0,0,0,0
0.000452070043918545,0.00041374734643061,0.000167876625063812,7.40206746584761e-05,4.03706106203417e-05,2.82019083077887e-05
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
