"V1","V2","V3","V4","V5","V6"
7.23664679504384e-06,1.54367419888207e-05,4.93733000485088e-06,1.61968860916548e-06,1.15879397223681e-06,1.13087045297782e-06
0.000332401315032818,0.000404317938261127,0.000101611539201114,2.65536176375069e-05,1.90244626313246e-05,1.53268629642716e-05
2.06721665545411e-05,3.52688071944357e-05,1.22760451934047e-05,3.73805641558775e-06,2.67570954931075e-06,2.61254319382253e-06
0.000341308562852466,0.000399083748403091,9.97122156617895e-05,2.52684444997374e-05,1.77948055660209e-05,1.42977614528011e-05
6.75089230783559e-06,1.24257403533943e-05,3.28929505885347e-06,1.41492061769717e-06,1.0096157050611e-06,9.82683587843706e-07
3.42528472598875e-05,4.96153043389734e-05,1.67669450997709e-05,3.69956845952273e-06,2.63904406860932e-06,2.56788649085879e-06
5.62201143604017e-06,9.60335669223884e-06,2.24393011973592e-06,9.68905090809581e-07,0,0
1.35906435059052e-05,1.90789070324893e-05,5.02881713482668e-06,1.49492894448301e-06,1.0665411966766e-06,1.03793060617817e-06
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2.62388602398005e-06,0,0,0,0
0,1.76067204694138e-06,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0006026019403287,0.000301028629334288,0.000162000557542273,6.56354515396522e-05,4.85688734285466e-05,3.75817589409093e-05
0.00085413505308616,0.000418336550191725,0.000256092729759348,0.000120121139539166,8.90350222111863e-05,6.84949100891373e-05
0.0019275264837145,0.00187953859940073,0.00159629828091145,0.00107044759331344,0.000720630697505021,0.000542585788380023
0.000485980430052613,0.00115478715994205,0.000732332472453484,0.000360486194729373,0.000282497218028898,0.000220461917706492
0.000755937447706068,0.00169208864629468,0.000690491318107761,0.000877687215313431,0.000728580439626854,0.000243247098697
0.000947539584313344,0.00043935041115891,0.000259372965053888,0.000117645820674354,9.14459838583999e-05,7.16282918789897e-05
0.000611101357534891,0.000576726472317772,0.000518639218876841,0.000369852491062593,0.000252305887833875,0.000189463166133191
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.000567751469012293,0.00050341821928739,0.000471209644748342,0.000344673880239866,0.000223782251460123,0.000165874973649671
0.000779134951664753,0.000688658602774916,0.00109327560019821,0.0011527614033469,0.000935925492473177,0.000825313170940425
0.000694354974438901,0.00061342425419031,0.00122435893593081,0.000404000301903816,0.000561101340403887,0.000430141778503561
0.00080933073442224,0.000751785241388012,0.000645604967235695,0.000845032802144013,0.000678763378497553,0.00051642759159582
0.00378412251776257,0.00355328096424033,0.00183013593077866,0.00174640335598293,0.00142485674873376,0.00126529786579824
0.00384747904135409,0.00353908824045695,0.00355946657383307,0.00326571879532334,0.0026263889977152,0.00231598398107062
0.00344394424332154,0.00329315444959712,0.00388749085878646,0.00176448898649923,0.00135566847734344,0.00283824034996291
0.00341607067679019,0.00323571261254802,0.00328939307279363,0.00306498788456328,0.00246855414245185,0.00215240385553632
0.000900904501324474,0.000833695979057704,0.00139948681708881,0.00149253840001912,0.0012347522245336,0.00108749350478671
0.00198902869333702,0.00188614444887006,0.00122852831729088,0.00112489542045518,0.000917289462391163,0.00079769560427367
0.00074935398869247,0.000684918158996431,0.00118727375242422,0.00131134554386171,0.00109667616687299,0.000967815059739682
0.000810524384660674,0.000724783164584309,0.00129556417506218,0.00141828738088399,0.00118647952114504,0.00105161042202627
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1.85895593462829e-06,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
4.58908358542646e-05,7.6761127588341e-05,1.57407598203541e-05,2.99642521320225e-06,2.14779738097464e-06,2.09996895627168e-06
0.000308511971433645,0.000381251856954709,0.000168002006589606,4.61948104976844e-05,3.6329479625726e-05,2.82621233411056e-05
3.43653817024265e-05,6.8525499560145e-05,1.671253658904e-05,4.01753827472854e-06,2.87924503946493e-06,2.814665526633e-06
0,0,0,0.00010935876151983,0.000668502460740431,0.00126932374357369
0,0,0,1.88468306446624e-05,6.77385691139833e-05,9.35147958556217e-05
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.000383509687006692,0.0185540231214686,0.043580692490192,0.0783199261274522
0,0,0.00460384431707953,0.0385228062632451,0.0615789725264178,0.0916763464084851
0.000820020373471019,0.000726646162692995,0.000921342968392997,0.000500630008462506,0.00016073108431304,0.000116441623317277
0.000512344929994231,0.000469903772924246,0.000728746759382682,0.000430884256870417,0.00033175682094946,0.000255937068835091
0.000420188584363843,0.000379049580863625,0.000480215799758455,0.000114350444770694,7.37504859433456e-05,5.50151956170292e-05
0.000451745554514983,0.000420250676119328,0.000268111124491202,0.000147880717800265,0.000115307062590769,8.90103510980329e-05
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2.71023679634953e-06,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,5.96771622192483e-06,0.00915807050308964,0.0224414609038156,0.03392237093482
0.000737969781129994,0.000361797128274072,0.000480581882161099,0.000101849938515637,6.84816306583114e-05,5.24119367870026e-05
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,7.26629409380323e-05,0.000398254286685591,0.000648943387611631
0,0,0,2.28139366961108e-06,4.63527170802466e-06,1.12259216390826e-05
0,0,0.0107374917722372,0.0639828446277705,0.0977957761951649,0.140400985644498
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,5.56043601638664e-05,0.000136256111402299
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2.83845287543438e-06,0,0,0,0
4.35071835013091e-05,4.22315154797535e-05,4.33967191205756e-06,0,0,0
0.000206855190989865,0.000188377515334195,6.27649471454739e-05,1.61621265416254e-05,1.09507889575079e-05,9.20517659645462e-06
0.000101291281352351,0.000127868140524752,2.9483983645121e-05,7.08605835587749e-06,5.92923929766105e-06,4.70144009973582e-06
0.000415486872782448,0.000435615404267144,0.000105347346577348,3.49622674944795e-05,2.54902604067731e-05,1.84577575705217e-05
0.000124151628085557,0.00012385825852616,2.51852619986856e-05,0,0,0
2.84587673065873e-06,9.53128231597189e-07,0,0,0,0
0.000261199612887013,0.000258380349591599,0.000113474838739142,3.52836280618087e-05,1.9559624743794e-05,6.66149443255513e-06
0.00020789584267925,0.000205933254641396,0.000111853172164611,3.4892333159174e-05,1.93645999371291e-05,6.56931506255812e-06
0.000129521721541756,0.000128465951069443,3.21633959227868e-05,0,0,0
8.71640360131084e-05,8.6678033931816e-05,2.32938897963446e-05,0,0,0
0.000167768966836286,0.000149555941349061,7.39606377462532e-05,1.36416601644855e-05,7.03030726288009e-06,5.78324953476479e-06
0.000455968259967885,0.000417491229195371,0.000166553496677381,7.20759577404211e-05,3.91698042426133e-05,2.57650217029174e-05
0.000339626972888997,0.00033090291117531,0.000130962499674592,6.20513053209185e-05,3.14725268523043e-05,2.16768815332887e-05
0.000263404841766809,0.000260273478379106,0.000121326039953894,4.27008209971549e-05,1.96320749388768e-05,1.65342111360051e-05
0.000172968213099527,0.000171076962478932,7.59825766089015e-05,1.39589703319163e-05,7.19439232785766e-06,5.9186888058739e-06
0.000138260466226826,0.00013803800905477,3.26292977136493e-05,1.27167912984531e-05,6.55212048699027e-06,0
0.000265234680327378,0.000261348615075255,0.000120440629130692,3.50004349696914e-05,1.94128230728285e-05,6.55172144932819e-06
0.000177804869026241,0.000175992319874993,8.24707778419473e-05,1.41540798896272e-05,7.29529218526166e-06,6.00197885888096e-06
0.000141937660160028,0.000140974348319421,5.94746450713293e-05,1.29473181075492e-05,6.67129957289901e-06,0
0.000120875662128977,0.000120692914413779,2.45557907132978e-05,0,0,0
