"V1","V2","V3","V4","V5","V6","V7","V8"
0,0,0,0,0,0,0,0
0,0,7.02703095524485e-05,4.39036244974602e-05,1.23146722356001e-05,9.61501011536866e-06,9.24923128723735e-06,1.28020228715785e-05
0,0,0,0,0,0,0,0
0,5.1263307934651e-06,8.03910083017491e-05,4.60335137662164e-05,9.38782826770979e-06,7.91436329540616e-06,7.6966124653302e-06,1.10951820097224e-05
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,3.72924021265096e-06,3.77820052959991e-06,1.40151737725805e-06,9.89813365276777e-07,9.39893028621654e-07,1.16732911950962e-06
0,0,2.9839015902079e-06,0,0,0,0,0
0,0,3.61891479121187e-06,3.65210471896502e-06,1.34876702290709e-06,9.51527523018053e-07,9.02532553951061e-07,1.11964572508212e-06
0,0,3.38776634848601e-06,3.38748360580225e-06,1.23799885582187e-06,8.71163798980899e-07,8.24146074742872e-07,1.01965105431348e-06
0,0,4.34225702674781e-06,4.50830585710661e-06,1.72019113523859e-06,1.22276534946564e-06,1.16887055069576e-06,1.46173502974393e-06
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,3.28361849582527e-06,3.32692693253129e-06,1.23648689051829e-06,8.71571480628826e-07,2.50545951389313e-06,5.43235884771889e-06
0,0,0,0,0,0,0,0
0,0,3.91546758967982e-06,4.04766369653051e-06,1.53837196589856e-06,1.09063531346789e-06,1.03974873725696e-06,1.29666982267505e-06
0,0,4.13224590727758e-06,4.2460290982818e-06,1.60051593643177e-06,1.13466250739183e-06,1.08165910872552e-06,1.34881348594002e-06
0,0,3.93295298032275e-06,4.01559527815983e-06,1.50282435399025e-06,1.06352261531763e-06,1.01200082791085e-06,1.25959472135968e-06
0,0,3.13319437859101e-06,3.12792483942856e-06,1.14228153862423e-06,8.03096189777095e-07,0,0
0,0,0,0,0,0,0,0
0,0,3.81282836844015e-06,3.85994779747926e-06,1.42989929793835e-06,1.00991211206959e-06,9.59016576786101e-07,1.19111086028687e-06
0,0,4.16118619737035e-06,4.26279984124687e-06,1.60047966665782e-06,1.1341074109907e-06,1.08059656271536e-06,1.3467860697729e-06
0,0,4.09377045263403e-06,4.18446816961529e-06,1.56713007868215e-06,1.10980387837552e-06,1.05678171115787e-06,1.31626174921944e-06
0,0,4.15288328441917e-06,4.25447001103509e-06,1.59750178488223e-06,1.13194103828992e-06,1.07847774073979e-06,1.34407582035461e-06
0,0,3.96803827590513e-06,4.05389238848219e-06,1.51809637843863e-06,1.07429879318727e-06,1.02221493586977e-06,1.27224488347496e-06
0,0,4.28916715660403e-06,4.41393031727858e-06,1.66589276237074e-06,1.18180497928339e-06,1.1273633907504e-06,1.40676657809798e-06
0,0,4.44384477504764e-06,4.60651261018316e-06,1.75354666561929e-06,1.24589560926846e-06,1.19037812508165e-06,1.48781317851954e-06
0,0,4.65924958201901e-06,4.84805849924896e-06,1.85277470495698e-06,1.31837921708261e-06,1.26157960850316e-06,1.57930947136443e-06
0,0,4.55279915260952e-06,4.73767858296018e-06,1.8115023280761e-06,1.28828789154194e-06,1.2320764036023e-06,1.54146829313209e-06
0,0,4.56189669751743e-06,4.74832459116053e-06,1.81607725635621e-06,1.29163102249826e-06,1.23536156838847e-06,1.54569125015851e-06
0,0,4.30480481319289e-06,4.45232513272248e-06,1.69094716060995e-06,1.20018307824356e-06,1.14549038740263e-06,1.43015390377528e-06
0,0,4.00145097236759e-06,4.09258138582153e-06,1.53451318135528e-06,1.08620635185148e-06,1.03382771514399e-06,1.28705807334669e-06
0,0,4.41605863554153e-06,4.57932098366718e-06,1.74414974589407e-06,1.23915497059117e-06,1.18387831509681e-06,1.47961722160254e-06
0,0,0,0,0,0,0,0
0,0,9.55672311310499e-06,9.53932349654077e-06,3.31096693428362e-06,2.69007244704516e-06,2.6142829459093e-06,2.97111363854032e-06
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,2.92739265929063e-06,3.39349278483535e-06,1.31387228595938e-05,0.000112171538172302,0.000243606913858706,0.000418796583335476
0,0,2.98686499427087e-06,3.33758880951654e-06,1.38238691223721e-06,9.81852943288353e-07,9.37906595799554e-07,1.17217709414059e-06
0,0,3.57007922267988e-06,4.23970078447486e-06,1.85645186938231e-06,1.32609981741019e-06,1.27412214063839e-06,1.60181817079909e-06
