"V1","V2","V3","V4","V5","V6","V7"
0,0,0,0,0,0,0
0,2.41517046701797e-06,6.27692689660622e-05,6.92471451013191e-05,2.14918592650399e-05,1.1441951685516e-05,8.81999862891543e-06
0,0,0,8.78940378697316e-07,0,0,0
0,2.86468070150818e-06,6.20126920170072e-05,6.64949944486325e-05,1.88550873081209e-05,1.21994021771331e-05,9.68916464514704e-06
0,0,0,0,0,0,0
0,0,0,1.33631719829481e-06,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,2.15921588474649e-05,0.000127716750470772,0.000140707638591619,6.79147987944357e-05,5.21379638592284e-05,4.07559052982234e-05
0,2.41874698444044e-05,0.000189420467694201,0.000233622398505194,0.000133271839231834,0.000105784710543944,8.17234712824807e-05
0,0.000403522171592006,0.000970631111874146,0.000748311993461676,0.000404915689584919,0.000425505612268683,0.000327612473442443
0,9.55810839485184e-05,0.000272899702272317,0.000282233497484761,0.000168738639285255,0.000148813476527574,0.000118019791233634
0,0.00035406839996563,0.000833963352872274,0.00070518708338551,0.000413496158280833,0.000441978082159989,0.000339920990974729
0,7.9906296504525e-05,0.000215643741742087,0.000225092920195179,0.000126837693362757,0.000120412248081596,9.76821357980882e-05
0,0.000228025444006761,0.000464520831202431,0.000443517357991276,0.000460110938437677,0.000362611691017672,0.000285098766255594
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0.000164426531098073,0.0004058368891393,0.000533387206190074,0.000316064289177309,0.000313442545551946,0.000228115596598387
0,0.000405223619131359,0.000965842774909616,0.00128087711509871,0.00244072178424553,0.00154100199009821,0.00137241307992762
0,0.000299768593160161,0.000814875847815997,0.00087139844748863,0.000699414175505742,0.000699414175505742,0.000699414175505742
0,0.000393214465153443,0.000963921678342689,0.00106491468014849,0.00040287151926003,0.000407669537701796,0.000311453207233316
0,0.00254157187682107,0.00224911496183395,0.00274498073308956,0.00280703573848254,0.00239563475657614,0.00216905333860434
0,0.00264561358786765,0.00227971805826041,0.00228485468430858,0.00202496720922864,0.00175421266226733,0.00158106946966927
0,0.00212803726448488,0.00194829569626925,0.00345912063414734,0.00371333937373404,0.00228973694401879,0.00203592786627038
0,0.00212179016369609,0.00195107548132395,0.00204028955465917,0.00185752640775404,0.00163548854182277,0.00147027791268216
0,0.000487977559136216,0.000813315032810062,0.00210907183370016,0.00235876042560591,0.00204210127511245,0.00184833644874718
0,0.000434883101551698,0.00102998794105228,0.000957988769477552,0.0016390808319584,0.00148099456217778,0.000350512045450949
0,0.000384231856350397,0.000834288370092541,0.00093819154553529,0.00202042270455094,0.00180394987277465,0.00164228767412756
0,0.000503027090778272,0.000748363355284156,0.00201532171768409,0.00227340661780007,0.00198387510236854,0.00180203138840626
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,7.72739665959357e-06,4.14789993253257e-06,0,0,0
0,3.36503508141276e-06,6.7731552903188e-05,6.74753327794011e-05,2.23669285027956e-05,1.17295305036321e-05,8.24301021468321e-06
0,0,5.05451373109519e-06,3.27491461706741e-06,0,0,0
0,0,0,0,0.00435691745332351,0.00939704975130841,0.0169933273968937
0,0,0,0,0.00410059251607145,0.00825452360255446,0.0140762808705622
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0.00950830087506358,0.0679286893047702,0.13213011001001,0.214466510549595
0,0,0,0.024216759016428,0.113134180410648,0.201821368723765,0.311906958382712
0,0.000439765651500329,0.00101925749213022,0.000303683207838084,0.000193143079518599,0.000186205494766704,0.000148142237531749
0,5.04097905056393e-05,0.000301043313030152,0.000312821351393905,0.000171088708268219,0.00017500562355041,0.00014251758107526
0,7.15538064984937e-05,0.000227024627475815,0.00019590572946319,8.09612311169107e-05,8.334020021726e-05,6.8501625843297e-05
0,3.85498784557094e-05,0.000237585736655483,0.000261820748169924,0.00015564212548071,0.000169666200237294,0.000140796996401515
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0.00290380065505222,0.0392794196684841,0.0722323241435418,0.115141785339818
0,2.11034291918329e-05,0.000171739387318464,0.000196543682068586,0.000104108107228753,7.90888200414002e-05,5.97136325771453e-05
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0.00328101894817845,0.00806065472464812,0.0136805952408738
0,0,0,0,0.00195955186232975,0.0040341639816047,0.00702303757603848
0,0,0,0.0455692767456432,0.173856712860396,0.290288687911833,0.430626530626352
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.35722205912708e-05,0.000183590064114846,0.000337610309230644
0,0,0,0,0,9.15891035986177e-06,1.88556103029453e-05
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,6.81789843351703e-06,1.52984204763908e-06,0,0,0
0,3.17899527521322e-06,4.2827101233608e-05,3.07482534212547e-05,6.80113621886949e-06,5.30498918478521e-06,3.32892370961516e-06
0,0,2.19797496473261e-05,1.23747830628786e-05,2.89357829996733e-06,0,0
0,5.710136841019e-06,9.60898541464924e-05,9.46729473993648e-05,3.86749208612028e-05,2.8269247120144e-05,2.02300709136549e-05
0,0.000124142739785187,0.00012460437122571,1.63324950907895e-06,0,0,0
0,2.84070825368807e-06,3.08093941399696e-06,0,0,0,0
