"action","qin","median(pp)","sqrt(var(pp)/length(pp))"
"bio",0.3,0.0279160000000001,0.0639834086163499
"bio",0.6,0.0279160000000001,6.93239841867723e-05
"bio",0.9,0.0279160000000001,5.49907889115756e-16
"none",0.3,0,6.90904072189371e-07
"none",0.6,0,5.75939619812486e-07
"none",0.9,0,5.19511811563016e-07
"qin",0.3,0.000433059920323728,0.00222864656216017
"qin",0.6,0.000119337321280878,0.00143506660423042
"qin",0.9,4.78897932017633e-05,0.00111643989336482
"qout",0.3,0.00215964716580447,0.00537377472898394
"qout",0.6,0.00153989133284399,0.00556448713432323
"qout",0.9,0.0009536685072494,0.00841392678119322
