"V1","V2","V3","V4","V5","V6","V7"
0,0,0,0,0,0,0
2.41517046701797e-06,6.19740969802128e-05,5.20319528055953e-05,5.67693255498796e-06,7.66810918782244e-06,4.54128634759373e-06,4.03594514244772e-06
0,0,8.04656324313552e-07,0,0,0,0
2.86468070150818e-06,6.12312247330509e-05,4.91748375714807e-05,5.02446824524679e-06,7.67306865373157e-06,4.98395017142652e-06,4.4093306186314e-06
0,0,0,0,0,0,0
0,0,1.22337772954584e-06,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2.14255444615924e-05,0.000125532459383203,0.000105209306376726,2.59753890980161e-05,3.045178047821e-05,2.09744100206749e-05,1.56334240353791e-05
2.38871947614346e-05,0.000186356524792333,0.000173490927580798,5.47521060555954e-05,6.30950316117973e-05,4.20816004472192e-05,3.16617941507955e-05
0.000391344862567083,0.000890855337906667,0.000246967737300488,0.000137610431303218,0.000289912259986079,0.000184314087118673,0.000146400030650833
9.4649625144382e-05,0.000260339945687127,0.000205440992775786,6.92811980462637e-05,8.6797826033784e-05,6.06760769078007e-05,4.80510385639418e-05
0.000343194764867633,0.000763480552718472,0.000232001748469079,0.000143069888252683,0.000304696353731179,0.000192278741516269,0.00015665340497307
7.91220594372456e-05,0.000206707631557301,0.000162958980167228,4.97989740302754e-05,6.85064221676624e-05,5.01793222975052e-05,3.96242386128275e-05
0.000218604861803008,0.000420218352979574,0.000182290706103169,0.000279541742592416,0.000246599574215801,0.000160147580835618,0.000132457102967644
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.00015536431568484,0.000370037959210222,0.000402825712039272,0.000110090187315136,0.00020965245598436,0.00013033422983878,9.95567213083074e-05
0.00039302659678947,0.000884548797759944,0.00103071680655672,0.000884292693642815,0.000781182061529063,0.000537904082578577,0.00158442408642185
0.000288743719313042,0.000740386686921191,0.000207995737127052,0.0002878354332163,0.000215355096661032,0.000143358865810881,0.000107730917523987
0.000381086271100201,0.00088397033686595,0.000252935139695507,0.000139953613785731,0.000278298170777467,0.000178176457327374,0.000136029169663521
0.00250412705294228,0.00120571238809695,0.00139073830258604,0.00143838591309053,0.00125948065833104,0.00112324749678863,0.00101780996555821
0.00259539756683813,0.00121868767760396,0.0011451245677716,0.00101883930416896,0.000903482003203033,0.000800624380555892,0.000733244610708868
0.00210833224949064,0.00105131076849295,0.00309504422582304,0.0033516862348571,0.00118738005645101,0.00103772609998041,0.000932770009160945
0.00210207781069428,0.00262701926512822,0.00102731697585804,0.000912832613413576,0.000825586573189806,0.00072618991496198,0.000511966790833978
0.000474729935597958,0.000318484842422784,0.00106463607687055,0.00118016338605188,0.00104749641441772,0.000929694276748382,0.000848510240312872
0.000421812106341681,0.000942427217566146,0.000326950140743019,0.000799199046982469,0.000738169793268478,0.000114665797266056,0.000202171300024791
0.000372669595941716,0.000760216292317884,0.000320290456100865,0.00101988211711994,0.000925595288148376,0.000827075105625339,0.000758551753091059
0.0004898332757965,0.000286655678866453,0.00102439039958576,0.00115276928375683,0.00103157766415939,0.000918356574880226,0.000840678170407177
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,7.63189130868399e-06,3.80367426780964e-06,0,0,0,0
3.36503508141276e-06,6.68392008852626e-05,5.16032516328089e-05,6.99602080881087e-06,7.16447534777606e-06,4.27334425982636e-06,2.80656645122741e-06
0,4.99359900365251e-06,3.00274154290773e-06,0,0,0,0
0,0,0,0.0043470492827101,0.00452301023561717,0.00491559780807259,0.0157070054095971
0,0,0,0.00410716901325671,0.00386832459583423,0.00395940816383671,0.0105322188032167
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0.00920157742623403,0.0653519320282191,0.129742975424227,0.211090339022037,0.316648496645168
0,0,0.0234374261063225,0.105031807718395,0.191378622021774,0.298215098311932,0.433868628637198
0.000426481320876916,0.000929160739500629,0.000126154418617975,9.85640162028361e-05,0.000102026442624695,7.60248457144915e-05,5.87294086598815e-05
4.96329376779251e-05,0.000292316422801869,0.000243033821346815,8.35784218097459e-05,9.6885611748163e-05,7.29428205377228e-05,5.3248777001813e-05
7.06115287050573e-05,0.000217189526863384,0.000146800291392713,3.84288607212028e-05,4.53147842128087e-05,3.50518686825229e-05,2.58158423452937e-05
3.79403387655999e-05,0.000231505335484844,0.000196387536396357,6.98542975462634e-05,9.27734648103059e-05,7.20173186870674e-05,4.94615483404411e-05
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0.00281029376620291,0.0384876102149385,0.0326412949829562,0.0296022035416083,0.028670081153107
2.09473602139975e-05,0.000168928243814901,0.000147626284033628,4.23414342231066e-05,4.56087332975781e-05,3.07762650972778e-05,2.1630286875703e-05
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0.0032661748084982,0.00833533754444298,0.00596984865187112,0.00564329616926908
0,0,0,0.00195641919371779,0.00189882929415578,0.00203261799511425,0.00225784049603935
0,0,0.0437243260909628,0.15302859571203,0.260853503938813,0.391518334375624,0.555118736181325
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,1.31351740192005e-05,0.000179889185905084,0.000152563797767122,0.000138359234734445
0,0,0,0,9.14426832279414e-06,8.87509416218031e-06,9.50042015778022e-06
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,6.72931551676734e-06,1.40295111167988e-06,0,0,0,0
3.17899527521322e-06,4.22317465193985e-05,2.32381714054713e-05,2.25654072271557e-06,1.92203929437613e-06,1.68753544957097e-06,0
0,2.16842770756759e-05,1.02271954361158e-05,0,0,0,0
5.710136841019e-06,9.4792010775944e-05,7.27466488819128e-05,1.53423575893477e-05,1.49202863410424e-05,1.04521338357641e-05,6.06669262218385e-06
0.000124101384229296,0.000123799590032111,0,0,0,0,0
2.84070825368807e-06,3.06646786603642e-06,0,0,0,0,0
0.000251262524488644,0.000236583077906302,6.77859672318125e-05,1.33882146732165e-05,5.74553203965199e-06,4.92945794791832e-06,1.6459559803695e-06
0.000205344269264686,0.000201070183381935,6.63966426174151e-05,1.18622863997443e-05,5.6441605436015e-06,4.83862886337776e-06,8.74795406637807e-07
0.000128760763853826,0.000127786348318535,2.39286277244902e-05,0,0,0,0
8.71337130220489e-05,8.76076086616377e-05,0,0,0,0,0
0.000166880678521971,0.000148480434166924,3.22340417679504e-05,0,0,0,0
0.000406137488939422,0.000396068351353231,0.000132680535891635,3.22191375086061e-05,1.66958063941572e-05,5.75627769708895e-06,4.02766232543782e-06
0.000295221348730156,0.000289037446809406,0.000107680043092132,1.42385080429792e-05,6.12228579276725e-06,5.25399415271507e-06,3.60446147997823e-06
0.000253155058816836,0.000236735027702538,7.92507640007021e-05,1.18983433923221e-05,5.66902289974527e-06,4.85816319849354e-06,8.00409807453168e-07
0.000171338138579496,0.000168353713152052,3.33255735234466e-05,0,0,0,0
0.000137434342813501,0.000136439834402706,2.43685538495577e-05,0,0,0,0
0.000254898079594043,0.000236987664448332,6.67803213939769e-05,1.18531845080894e-05,5.63505175350683e-06,4.83264971298191e-06,7.97298002852364e-07
0.000176052722623598,0.000172060032112993,3.41183699501887e-05,0,0,0,0
0.00014109057322051,0.000139404889974968,3.08376870870316e-05,0,0,0,0
0.000120103458788571,0.000119609871784276,0,0,0,0,0
0.000144208703506462,0.000142421963365528,3.13950330608908e-05,0,0,0,0
0.000122107219458634,0.000121636912054996,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.51869824883782e-05,3.87574556612244e-05,2.77584612735173e-05
0,0,0,1.31351740192005e-05,0.000195076168393463,0.000191321253428347,0.000166117696007963
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4.07732747597682e-06,7.63875119829219e-05,5.36482595647365e-05,1.23432120709981e-05,1.10886692504777e-05,9.70304667681858e-06,3.55106462932677e-06
1.22682922604845e-05,0.000117242457929626,8.95200337567138e-05,2.88816733875283e-05,2.64118007641485e-05,2.11654135204872e-05,9.13419145546998e-06
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.21171307790663e-05,8.73194923859863e-05,5.59069471903051e-05,8.99279324007313e-06,8.08192669117858e-06,7.12138700038122e-06,4.37327602852954e-06
3.24848470695336e-05,8.62433762280022e-05,4.66937861430776e-05,5.18018778144338e-06,4.53669948834243e-06,4.0182626196376e-06,3.59047884276859e-06
1.05822337311986e-05,0.000152411553670988,0.000114927778822975,2.57235945635105e-05,2.48902203448603e-05,1.9648348934834e-05,1.35958691000837e-05
2.30457115383656e-05,0.000114021057416683,7.57667129898772e-05,1.07183456946114e-05,1.05132098217208e-05,9.31879737532021e-06,7.08910088280392e-06
8.72385151288195e-06,0.00011727851428753,8.47594627777027e-05,1.15466178836364e-05,1.18839956335913e-05,1.05695460003095e-05,7.33432754416664e-06
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2.66818619698734e-06,7.84830216020404e-05,5.71928779087318e-05,1.17414470628856e-05,1.04794910590461e-05,9.18240198730707e-06,4.004786331569e-06
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2.88597181838207e-05,4.69983962408814e-05,1.68671343425757e-05,0,0,0,1.03013096269428e-06
5.75383009626943e-05,6.25376500006951e-05,9.92594392203241e-06,6.26472823944605e-07,0,0,1.54809722935775e-06
1.70533221347462e-05,3.83990126315403e-05,1.28007175466863e-05,0,0,0,7.03731139188677e-07
0,0,0,0,0,0,0
