"V1","V2","V3","V4","V5","V6","V7"
0,0,0,0,0,0,0
0,2.41517046701797e-06,6.27692689660622e-05,7.85513263826031e-05,2.68608069500087e-05,1.2370947737688e-05,1.05979599747268e-05
0,0,0,8.9235838008035e-07,0,0,0
0,2.86468070150818e-06,6.20126920170072e-05,7.50379857457127e-05,2.22576300424322e-05,1.31652555342695e-05,1.12614694448566e-05
0,0,0,0,0,0,0
0,0,0,1.35671756497436e-06,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,2.15921588474649e-05,0.000127716750470772,0.000162130527065927,8.82257444532044e-05,5.82409831547969e-05,5.26408294257717e-05
0,2.41874698444044e-05,0.000189420467694201,0.000270817068613795,0.000170885060351337,0.000118158976261251,0.000106054143283414
0,0.000403522171592006,0.000985235765047266,0.00118400933127536,0.000493441259730977,0.000485611218716838,0.000421445022347924
0,9.55810839485184e-05,0.000275164912835683,0.00032632452879357,0.000208404250759744,0.000165806278026877,0.000146547304266063
0,0.00035406839996563,0.000846694729986641,0.000792490557018372,0.000891770181451046,0.000699414175505742,0.000699414175505742
0,7.9906296504525e-05,0.000217590735389825,0.000257783413051198,0.000153664934868743,0.000133629362141597,0.000117291827623673
0,0.000228025444006761,0.00046953947829767,0.00089997461346579,0.000699414175505742,0.000699414175505742,0.000699414175505742
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0.000164426531098073,0.000410985179477354,0.000791111895871441,0.000699414175505742,0.000699414175505742,0.000699414175505742
0,0.000405223619131359,0.000980895264986155,0.00145015168654566,0.002647540041474,0.00226124381685355,0.00209825854345107
0,0.000299768593160161,0.000827596818382618,0.000983038636375635,0.000699414175505742,0.000699414175505742,0.000699414175505742
0,0.000393214465153443,0.000978784049833442,0.00120764045010999,0.000893131486528275,0.000699414175505742,0.000699414175505742
0,0.00254157187682107,0.00319716738380474,0.00419064887333045,0.00309616225752676,0.0035722347978043,0.00237902067663018
0,0.00264561358786765,0.00232404595735981,0.0024450376213033,0.00220137678834982,0.00186795876410392,0.00171678489978111
0,0.00212803726448488,0.00275862297767754,0.00373589629352735,0.00404863771979816,0.00339533170498309,0.00310828520310753
0,0.00212179016369609,0.00275767708709712,0.0030769675467711,0.00282903880001795,0.00245324208724992,0.00225148851681291
0,0.000487977559136216,0.000835513170106425,0.00224971253862154,0.00254156247306231,0.0021657120051586,0.00198712708216812
0,0.000434883101551698,0.00104492686283733,0.00108135105509865,0.00176220028533008,0.00157423028998646,0.000431296007636394
0,0.000384231856350397,0.000847440103701835,0.00104939105976391,0.00216360682444828,0.00190521623014592,0.00174758445450341
0,0.000503027090778272,0.000770162372081718,0.00213216362829155,0.00242614918949777,0.00210172165513585,0.00191398664683367
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,7.72739665959357e-06,4.21113431771957e-06,0,0,0
0,3.36503508141276e-06,6.7731552903188e-05,7.75763970337565e-05,3.22395001645465e-05,1.28196841170418e-05,1.22173348854226e-05
0,0,5.05451373109519e-06,3.3247652073919e-06,0,0,0
0,0,0,0,0.00458089684450547,0.0101771730319221,0.0187020439828549
0,0,0,0,0.00428855807694403,0.00863462705557566,0.0146981299797773
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0.0101823295624622,0.0752224153131384,0.144805823652425,0.233739250634671
0,0,0,0.0264099580731648,0.126374545265927,0.222864880715518,0.342033226493925
0,0.000439765651500329,0.00103464749812398,0.000699414175505742,0.000699414175505742,0.000699414175505742,0.000699414175505742
0,5.04097905056393e-05,0.000301725049941782,0.00036671356876698,0.000213335327613014,0.000204817843792338,0.000180029760867698
0,7.15538064984937e-05,0.000228818761210694,0.000226703949003114,0.000100385813613203,9.70577755104264e-05,8.5420033864538e-05
0,3.85498784557094e-05,0.000237585736655483,0.000304194527900544,0.000187835984105504,0.000194075974986199,0.000169353847510504
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0.00302741844824111,0.0427653608572816,0.0883434289983802,0.147691611530003
0,2.11034291918329e-05,0.000171739387318464,0.000228753345578729,0.000141175652321742,8.84664508795378e-05,8.10697652491584e-05
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0.00342791096458888,0.00882818099663644,0.0152541628549768
0,0,0,0,0.00202018149760962,0.00417143548817279,0.00727085647640735
0,0,0,0.0506855383564569,0.194427711497983,0.321591840800507,0.474436737165104
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1.41500040404366e-05,0.000199883180758456,0.000412912816198027
0,0,0,0,0,9.44229219085818e-06,1.9497214869678e-05
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,6.81789843351703e-06,1.55343014752836e-06,1.02886824664425e-06,0,0
0,3.17899527521322e-06,4.2827101233608e-05,3.512772157447e-05,1.41363629757483e-05,5.75451547856242e-06,4.884814038861e-06
0,0,2.19797496473261e-05,1.37580979253136e-05,5.68504457518649e-06,0,0
0,5.710136841019e-06,9.60898541464924e-05,0.000109851149110806,6.0609579075032e-05,3.08594072334136e-05,2.89250428927116e-05
0,0.000124142739785187,0.000125259257105908,2.58577658508984e-06,0,0,0
0,2.84070825368807e-06,3.08093941399696e-06,0,0,0,0
0,0.000258757571251619,0.000253712124868598,7.73033230758246e-05,1.58920815395483e-05,5.90232311974197e-06,4.95756574595554e-06
0,0.000205456894964757,0.000203577039643982,7.55279799455334e-05,1.28312523773225e-05,5.79818527477089e-06,4.86621875344394e-06
0,0.000128803149620471,0.000129331231086202,2.88716423074625e-05,0,0,0
0,8.71581228722161e-05,8.88733570710289e-05,2.44271173243945e-06,0,0,0
0,0.00016695016044385,0.000150358071806046,3.94686969938013e-05,0,0,0
0,0.00041577126743731,0.000431659083760973,0.000145010872087867,3.55342638042134e-05,1.69845431679175e-05,5.78910002616963e-06
0,0.000303729398442354,0.000318170488949086,0.000118365711689136,1.68899525797443e-05,6.28935818840315e-06,5.28395245808933e-06
0,0.000260682371325766,0.000253829493346601,8.85066883906169e-05,1.28617159034988e-05,5.82372610518762e-06,4.88586447345274e-06
0,0.000171409129266635,0.000170401617378719,4.09724809102999e-05,0,0,0
0,0.000137484744169293,0.000138091348900622,2.92828680123058e-05,0,0,0
0,0.000262498581595936,0.000254267736359415,7.60840390311841e-05,1.28274335905178e-05,5.78882791291168e-06,4.86020550989757e-06
0,0.000176139276679008,0.000174199494077116,4.2116170966954e-05,0,0,0
0,0.000141141781935457,0.000141124824989801,3.79674398121709e-05,0,0,0
0,0.000120143560361054,0.000121116694232332,2.59346144078979e-06,0,0,0
0,0.000144260276857567,0.000144300734682825,3.88029820284424e-05,0,0,0
0,0.000122147793755796,0.000123197001928319,2.71421740471909e-06,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,1.59390194472991e-05,4.10490675059118e-05
0,0,0,0,1.41500040404366e-05,0.000215822200205755,0.000453961883703939
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,4.07732747597682e-06,7.74828616187572e-05,8.03082943345572e-05,4.16051552519697e-05,2.93670451293064e-05,2.69078016198822e-05
0,1.22682922604845e-05,0.000119321824833187,0.000132776850384482,6.88977848585416e-05,6.49116408562366e-05,5.83796897928147e-05
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1.21171307790663e-05,8.9076812344089e-05,7.93958207020921e-05,2.03289052173036e-05,2.03835323959486e-05,1.8349095213676e-05
0,3.32322034530492e-05,9.00247427973293e-05,6.76537475017791e-05,1.08829054827814e-05,1.17399036859863e-05,9.99614175938457e-06
0,1.05822337311986e-05,0.000155030778357339,0.000167432884635872,6.05593392112652e-05,5.56754300159183e-05,4.97783291436468e-05
0,2.36055463201125e-05,0.000117351213939152,0.000110837095370871,2.62449354401925e-05,2.59822093408387e-05,2.32923577264901e-05
0,8.84426101767188e-06,0.00011915627356446,0.00012294437155196,3.03143265410955e-05,2.95348280664519e-05,2.63033872067547e-05
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
